primary_identifier,device_type,device_category,gender,district_name,age_group,network_stay,average_monthly_bill_amount,dusage_sum,dusage_min,dusage_max,dusage_diff,dusage_avg,dusage_days,dusage_stddev,vusage_onnet_sum,vusage_onnet_max,vusage_onnet_min,vusage_onnet_diff,vusage_onnet_days,vusage_onnet_avg,vusage_onnet_stddev,vusage_offnet_sum,vusage_offnet_max,vusage_offnet_min,vusage_offnet_days,vusage_offnet_avg,vusage_offnet_stddev,number_of_fixed_bb_accounts,number_of_iptv_accounts,add_on_tot_rental,add_on_count,next_month_plan
6875768,4G,Smartphone,MALE,Kegalle,40-50,219,761.62,6317,2.773958206,622.6858482,619.91189,210.5799392,30,197.1168222,0,0,0,0,0,,0,677,152.8666667,0,27,25.09938272,34.75922091,0,1,,,PKG2
6406277,4G,Smartphone,MALE,Galle,40-50,36,2482.52,28365,3.07943821,2569.429138,2566.3497,945.5312354,30,573.2996391,0,0,0,0,0,,0,76,35.43333333,0,15,5.071111111,6.779644332,0,0,600,2,PKG1
3563570,4G,Smartphone,MALE,Kandy,30-40,186,1565.55,18581,48.19371319,2739.515326,2691.321613,619.3788105,30,619.7504997,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1,PKG6
1853666,4G,Smartphone,FEMALE,Colombo,40-50,24,2397.49,91071,22.43784237,7523.355693,7500.91785,3035.708609,30,2174.203127,0,0,0,0,0,,0,0,0,0,0,,0,0,0,1110,2,PKG4
2794331,4G,Smartphone,FEMALE,Kandy,50-60,37,2501.75,19736,53.3020916,1239.22017,1185.918078,657.889802,30,329.1525156,0,0,0,0,0,,0,258,87.61666667,0,23,11.25652174,16.22407062,0,1,1350,2,PKG4
3619017,2G,Basic,MALE,Galle,40-50,30,495.54,0,0.001530647,0.173771858,0.172241211,0.020355829,30,0.034964533,0,0,0,0,0,,0,2,1.066666667,0,3,0.7,0.233431835,0,0,,,PKG1
7633257,4G,Smartphone,MALE,Kegalle,30-40,35,1977.19,14782,205.3942995,1001.028832,795.6345329,492.7370551,30,177.2119548,0,0,0,0,0,,0,0,0,0,0,,0,0,0,110,1,PKG5
5507217,4G,Smartphone,MALE,Gampaha,30-40,170,2925,3473,6.426328659,1132.109515,1125.683187,115.7856981,30,222.3538153,43,9.966666667,0,9.966666667,7,6.147619048,2.939495009,0,0,0,0,,0,0,0,650,1,PKG5
7566055,4G,Smartphone,MALE,Kalutara,20-30,48,473.59,3870,0,1180.032728,1180.032728,552.9767369,7,337.334503,7,6.7,0,6.7,2,3.575,1.313411588,34,22.88333333,0,3,11.33888889,4.661264135,0,0,110,1,PKG2
7324903,4G,Smartphone,MALE,Colombo,20-30,81,1324.6,20876,3.450117111,1290.141176,1286.691059,695.8691959,30,334.7799667,7,7.4,0,7.4,1,7.4,1.351048975,11,6.816666667,0,6,1.922222222,1.310880881,0,0,360,2,PKG2
4058040,4G,Smartphone,FEMALE,Kalutara,30-40,64,1612.7,11580,49.48397541,1105.013389,1055.529413,386.002511,30,248.0730704,0,0,0,0,0,,0,27,11.41666667,0,7,3.95952381,2.649689794,0,0,740,2,PKG3
9835417,4G,Smartphone,FEMALE,Kurunegala,30-40,32,0,136,0,100.3859358,100.3859358,34.22591233,4,36.43121241,0,0,0,0,0,,0,2,2.083333333,0,2,1.283333333,0.778115006,0,0,110,1,PKG1
8104537,4G,Smartphone,MALE,Gampaha,30-40,26,1787.08,10043,40.71106911,1021.117332,980.4062634,334.7956483,30,225.8108122,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,,PKG5
6937092,2G,Basic,MALE,Puttalam,40-50,178,496.34,0,0,0,0,,0,0,0,0,0,0,0,,0,14,13.56666667,0,3,4.911111111,2.560656859,0,0,,,PKG1
3515441,3G,Smartphone,MALE,Galle,50-60,18,1528.66,1447,0,199.3051748,199.3051748,55.67835148,26,58.70361419,57,19.65,0,19.65,4,14.40833333,5.559295546,21,11.05,0,5,4.273333333,2.357697539,0,0,,,PKG1
1254707,4G,Smartphone,FEMALE,Colombo,30-40,94,1826.41,3978,1.125169754,836.3529787,835.227809,132.6020348,30,192.3235875,9,9.75,0,9.75,1,9.75,1.780098312,47,21.36666667,0,11,4.310606061,4.407215182,0,0,350,1,PKG3
5038603,4G,Smartphone,FEMALE,Colombo,30-40,52,352.97,1862,2.095556259,356.6421251,354.5465689,62.0891338,30,92.77912719,0,0,0,0,0,,0,7,2.816666667,0,6,1.236111111,0.657626688,0,0,,,PKG2
3037770,2G,Feature phone,MALE,Kalutara,50-60,4,557.74,0,0,0,0,,0,0,0,0,0,0,0,,0,49,10.21666667,0,22,2.231060606,2.491780949,0,0,,,PKG1
4669431,4G,Smartphone,FEMALE,Gampaha,20-30,57,4721.84,19508,205.565197,1417.438719,1211.873522,650.2708011,30,340.7503405,0,0,0,0,0,,0,0,0,0,0,,0,0,0,2550,5,PKG3
8683145,4G,Smartphone,MALE,Galle,40-50,126,1165.14,325,0,70.37235451,70.37235451,12.03751059,27,17.20242251,0,0,0,0,0,,0,59,11.7,0,15,3.936666667,3.213490332,0,1,,,PKG2
1429480,4G,Smartphone,FEMALE,Gampaha,30-40,92,6277.38,7819,4.467769623,902.4555759,897.9878063,260.6431956,30,195.9504255,0,0,0,0,0,,0,0,0,0,0,,0,0,0,650,2,PKG5
3206263,4G,Smartphone,FEMALE,Colombo,>70,207,5597.2,58473,124.2887163,8897.993315,8773.704598,1949.116735,30,2445.461558,0,0,0,0,0,,0,45,7.9,0,13,3.530769231,2.536920479,0,1,1200,3,PKG8
8142089,4G,Smartphone,,Colombo,,32,2913.92,15633,4.491380692,2711.167994,2706.676613,521.1308354,30,614.7938151,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1,PKG5
5932612,4G,Smartphone,MALE,Colombo,50-60,131,2758.85,21752,317.9396687,4058.255436,3740.315767,725.0844734,30,670.8558436,0,0,0,0,0,,0,29,4.633333333,0,17,1.747058824,1.239875473,0,0,710,3,PKG4
4149370,4G,Smartphone,MALE,Colombo,60-70,186,815.07,3143,0,280.9717426,280.9717426,112.2613864,28,83.23419653,0,0,0,0,0,,0,35,7.6,0,15,2.37,2.092690938,0,0,,,PKG1
8043224,2G,Feature phone,MALE,Jaffna,20-30,121,261.03,0,0,0,0,,0,0,0,0,0,0,0,,0,59,12.48333333,0,21,2.856349206,2.913526694,0,0,250,2,PKG1
2791547,4G,Smartphone,MALE,Ampara,30-40,224,2310.88,18278,0,1132.676894,1132.676894,652.7872848,28,253.744132,0,0,0,0,0,,0,0,0,0,0,,0,0,1,,,PKG5
4700883,4G,Smartphone,MALE,Kurunegala,30-40,157,2438.19,13805,107.5097885,2458.856156,2351.346368,460.1965302,30,485.4180101,0,0,0,0,0,,0,35,8.866666667,0,10,3.53,2.432178123,0,0,500,1,PKG4
1475018,4G,Smartphone,MALE,Gampaha,50-60,164,540.04,7339,0,1377.186512,1377.186512,253.0917921,29,396.8270317,0,0,0,0,0,,0,39,19.56666667,0,10,3.956666667,3.727791796,0,1,,,PKG1
3654932,4G,Smartphone,FEMALE,Colombo,60-70,234,2683.86,5695,23.47896481,477.6083794,454.1294146,189.8527883,30,146.7677924,0,0,0,0,0,,0,29,12.03333333,0,3,9.766666667,3.024664257,1,0,,,PKG5
9537482,4G,Smartphone,FEMALE,Gampaha,40-50,44,1104.98,11783,11.02016163,1287.126913,1276.106751,392.7807186,30,344.7353686,0,0,0,0,0,,0,100,11.01666667,0,25,4.039333333,2.903566585,0,0,200,1,PKG1
8635750,4G,Smartphone,MALE,Puttalam,40-50,129,3119.85,12748,0,2875.535162,2875.535162,439.6098174,29,565.5527884,0,0.3,0,0.3,1,0.3,0.054772256,17,7.166666667,0,3,5.694444444,1.781170583,0,0,350,1,PKG4
8202793,4G,Smartphone,MALE,Colombo,20-30,90,1822.13,13040,0,1395.453535,1395.453535,465.7261619,28,353.8016828,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1,PKG5
7457653,4G,Smartphone,MALE,Colombo,30-40,145,3152.29,15604,77.39670467,3416.349463,3338.952758,520.1533206,30,702.4103745,0,0,0,0,0,,0,0,0,0,0,,0,0,0,560,3,PKG6
6392194,4G,Smartphone,MALE,Kegalle,40-50,198,3218.07,15061,101.271122,2317.12721,2215.856088,502.0479743,30,446.4644701,84,63.21666667,0,63.21666667,2,42.25,12.05063869,13,12.31666667,0,2,6.608333333,2.249042722,0,0,650,1,PKG8
8320068,4G,Smartphone,MALE,Gampaha,40-50,205,3225.47,12760,57.41531754,766.9261808,709.5108633,425.3386099,30,190.8463455,0,0,0,0,0,,0,0,0,0,0,,0,0,0,500,1,PKG5
7050237,4G,Smartphone,MALE,Puttalam,40-50,88,2358.87,32636,310.8764668,1753.636797,1442.76033,1087.885589,30,439.5392947,0,0,0,0,0,,0,6,3.266666667,0,5,1.21,0.633973512,1,0,910,3,PKG1
1942923,4G,Smartphone,MALE,Colombo,20-30,20,3683.39,44,0,25.53944874,25.53944874,2.960379283,15,5.42419466,3,3.883333333,0,3.883333333,1,3.883333333,0.708996422,51,9.283333333,0,13,3.998717949,2.572278845,0,0,0,1,PKG3
9063073,4G,Smartphone,MALE,Colombo,60-70,7,836.86,16513,28.18575191,1253.468403,1225.282651,550.4484982,30,301.2019274,0,0,0,0,0,,0,9,8.316666667,0,2,4.55,1.520211217,0,0,1410,6,PKG1
7712669,4G,Smartphone,FEMALE,Colombo,20-30,66,1818.13,10063,2.498575211,1205.062247,1202.563672,335.4651129,30,322.4717785,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,,PKG5
7689631,3G,Smartphone,MALE,Gampaha,40-50,79,2451.9,0,0,0.443721771,0.443721771,0.443721771,1,0.085394295,0,0,0,0,0,,0,177,52.8,0,26,6.825,11.01830451,0,0,350,1,PKG3
2007165,4G,Smartphone,FEMALE,Colombo,30-40,150,2609.5,910,1.427859306,132.1760931,130.7482338,30.34384712,30,32.4811825,0,0,0,0,0,,0,247,103.45,0,12,20.60694444,20.55940262,0,0,100,2,PKG6
4886863,2G,Basic,FEMALE,Kurunegala,30-40,138,2225.97,6096,0,1092.358148,1092.358148,508.0225347,12,327.4044301,0,0,0,0,0,,0,91,14.91666667,0,21,4.35952381,4.38306203,0,0,40,2,PKG3
9691869,4G,Smartphone,MALE,Gampaha,30-40,127,1807.42,5546,0,2370.594891,2370.594891,191.2501674,29,420.7154554,14,8.15,0,8.15,2,7.475,1.904734724,45,18.81666667,0,4,11.38333333,4.559006356,0,1,50,1,PKG5
3854673,4G,Smartphone,MALE,Colombo,50-60,129,3780.05,44429,423.6869993,3947.059748,3523.372748,1480.98047,30,683.2609874,0,0,0,0,0,,0,30,7.683333333,0,17,1.787254902,1.723083551,0,0,1360,5,PKG2
2979017,4G,Smartphone,MALE,Puttalam,40-50,244,1008.1,8630,52.03406525,666.7777224,614.7436571,287.6954788,30,142.8142575,0,0,0,0,0,,0,6,1.75,0,9,0.737037037,0.440652888,0,1,,,PKG2
4303456,4G,Smartphone,MALE,Matara,40-50,26,640.62,3927,0,1118.112259,1118.112259,145.4745994,27,251.06579,0,0,0,0,0,,0,9,5.133333333,0,5,1.946666667,1.03711519,0,0,,,PKG1
1849820,2G,Feature phone,MALE,Kurunegala,60-70,21,673.56,0,0,0,0,,0,0,0,0,0,0,0,,0,51,15.1,0,12,4.251388889,3.528954896,0,0,,,PKG1
3539448,2G,Basic,MALE,Colombo,>70,9,709.49,0,0,0,0,,0,0,0,0,0,0,0,,0,81,21.18333333,0,16,5.125,4.792690938,0,1,,,PKG1
1470577,4G,Smartphone,FEMALE,Gampaha,40-50,16,3070.81,8592,0.443067551,2849.712857,2849.26979,286.416787,30,594.6665018,0,0,0,0,0,,0,3,3.683333333,0,1,3.683333333,0.672481584,1,0,0,1,PKG2
1428567,2G,Feature phone,MALE,Gampaha,30-40,17,1224.54,0,0,0,0,,0,0,0,0,0,0,0,,0,2,2.183333333,0,1,2.183333333,0.514616602,0,1,,,PKG2
1665134,4G,Smartphone,MALE,Colombo,60-70,14,708.5,197,2.310321808,45.6889801,43.37865829,10.37329107,19,10.81000321,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,,PKG2
6410141,4G,Smartphone,MALE,Kandy,50-60,120,1882.81,9041,78.54039288,560.1529932,481.6126003,301.3723049,30,145.6099264,0,0,0,0,0,,0,58,19.93333333,0,16,3.666666667,3.832327038,0,0,350,1,PKG4
4458046,3G,Pluggable card,MALE,Matale,40-50,8,821.81,13736,0.230647087,1901.114839,1900.884192,490.589373,28,489.4493426,0,0,0,0,0,,0,0,0,0,0,,0,1,0,360,2,PKG1
1738557,4G,Smartphone,FEMALE,Colombo,50-60,152,2638.83,7557,3.256593704,617.7445049,614.4879112,251.9261,30,171.2909382,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,,PKG6
9067157,2G,Basic,MALE,Matale,50-60,64,1836.35,0,0,0,0,,0,0,0,0,0,0,0,,0,220,46.3,0,22,10.01893939,11.02982554,0,0,,,PKG2
9356074,4G,Smartphone,FEMALE,Colombo,30-40,115,8594.5,14829,2.440216064,1501.788294,1499.348078,494.3094873,30,376.7714665,0,0,0,0,0,,0,0,0,0,0,,0,0,0,950,1,PKG8
4407119,4G,Smartphone,MALE,Colombo,50-60,81,2939.19,1755,2.157917023,229.2026367,227.0447197,58.52509505,30,57.52490539,0,0,0,0,0,,0,69,17.9,0,20,3.495833333,3.670181396,0,0,840,2,PKG3
9177331,4G,Smartphone,FEMALE,Colombo,40-50,5,1089.73,19446,0,2559.277181,2559.277181,845.4891716,23,846.5272209,0,0,0,0,0,,0,88,20.58333333,0,11,8.071212121,5.087404029,0,0,360,2,PKG1
9407615,4G,Smartphone,MALE,Colombo,30-40,5,1295.4,3120,0,1211.428848,1211.428848,208.0109489,15,239.3263709,0,0,0,0,0,,0,35,27.73333333,0,8,4.4625,5.135158774,0,0,350,1,PKG2
5417030,4G,Smartphone,FEMALE,Colombo,>70,96,1052.56,3001,0.077302933,925.9830456,925.9057426,103.5077092,29,243.1921765,0,0,0,0,0,,0,8,2.416666667,0,10,0.886666667,0.619335856,0,0,50,1,PKG1
4884677,4G,Smartphone,MALE,Gampaha,30-40,113,2483.58,12114,0,792.6095543,792.6095543,417.7360491,29,207.2290626,0,0,0,0,0,,0,167,17.5,0,27,6.216049383,5.137116708,0,2,,,PKG3
1592844,4G,Smartphone,MALE,Kalutara,30-40,210,1683.03,13357,2.215844154,1159.405093,1157.189249,445.2339964,30,326.5553,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,,PKG5
4098272,4G,Smartphone,MALE,Kalutara,60-70,102,6979.96,52629,40.57296085,4348.309429,4307.736468,1754.301363,30,1003.615631,0,0,0,0,0,,0,0,0,0,0,,0,0,0,500,2,PKG8
5801376,2G,Feature phone,MALE,Colombo,60-70,193,560.88,0,0,0,0,,0,0,0,0,0,0,0,,0,5,2.683333333,0,4,1.345833333,0.68108321,0,0,20,1,PKG1
9484999,4G,Smartphone,MALE,Anuradhapura,40-50,16,3441.6,30289,26.51957417,3249.303443,3222.783869,1009.658521,30,753.7673133,0,0.75,0,0.75,1,0.75,0.136930639,396,33.83333333,0.183333333,30,13.22333333,10.90488186,0,0,,,PKG3
4080289,4G,Smartphone,MALE,Colombo,30-40,34,986.22,12530,7.390100479,1134.582978,1127.192878,417.6721134,30,275.0434076,4,4.366666667,0,4.366666667,1,4.366666667,0.797240611,29,7.15,0,8,3.641666667,2.074849084,0,0,,,PKG2
4658945,3G,Smartphone,FEMALE,Ratnapura,>70,3,663.68,4994,7.219521523,1412.686709,1405.467188,499.4839739,10,494.5019192,0,0,0,0,0,,0,0,0,0,0,,0,0,0,350,1,PKG1
7971612,4G,Smartphone,MALE,Nuwara Eliya,30-40,40,2995.09,45934,520.6603184,4163.307748,3642.647429,1531.148677,30,830.8033044,0,0,0,0,0,,0,0,0,0,0,,0,1,0,1290,3,PKG6
1198344,4G,Smartphone,MALE,Colombo,30-40,147,894.14,1904,0,354.8651733,354.8651733,70.53418774,27,78.14718754,0,0,0,0,0,,0,208,41.1,0,20,10.41166667,10.38173106,0,0,,,PKG2
9649789,4G,Smartphone,MALE,Colombo,60-70,142,1625.16,0,0,0.008485794,0.008485794,0.001891613,14,0.001774221,0,0,0,0,0,,0,47,9.066666667,0,19,2.495614035,2.269589408,0,0,450,2,PKG1
9664087,4G,Smartphone,MALE,Gampaha,20-30,17,582.56,6,0,6.200821877,6.200821877,0.345668422,18,1.151325703,0,0,0,0,0,,0,99,18.48333333,0,23,4.347101449,4.270396259,0,0,,,PKG1
6143519,4G,Smartphone,MALE,Kegalle,30-40,83,-456.68,335,0,293.5038729,293.5038729,37.26009782,9,83.7601943,0,0,0,0,0,,0,0,0,0,0,,0,0,0,50,1,PKG1
7100255,4G,Smartphone,,Colombo,,28,5737.55,48725,699.9803057,2929.297596,2229.31729,1624.189878,30,611.3536165,0,0,0,0,0,,0,0,0,0,0,,0,0,0,200,1,PKG7
3835213,4G,Smartphone,FEMALE,Colombo,20-30,41,1494.75,12182,0,2602.669172,2602.669172,507.5879509,24,573.8182357,13,8.033333333,0,8.033333333,4,3.366666667,1.590651167,13,6.616666667,0,7,1.94047619,1.282015918,0,0,500,1,PKG3
1062691,4G,Smartphone,MALE,Colombo,60-70,49,1928.5,44846,533.5551062,2957.559428,2424.004322,1494.879746,30,647.9970604,0,0,0,0,0,,0,0,0,0,0,,0,0,0,770,3,PKG3
3765259,4G,Smartphone,FEMALE,Galle,20-30,44,2113.67,12054,11.75945759,1483.08933,1471.329872,401.8228468,30,327.5522047,515,87.58333333,0,87.58333333,23,22.39202899,24.74971012,18,11.76666667,0,4,4.5,2.207081081,0,0,,,PKG4
7750702,4G,Smartphone,MALE,Colombo,30-40,16,2682.09,4358,0,1223.635167,1223.635167,290.5337938,15,308.4639087,0,0,0,0,0,,0,11,10.6,0,2,5.641666667,2.310458737,0,0,1190,6,PKG4
1722143,4G,Smartphone,FEMALE,Colombo,40-50,135,3565.04,18908,11.56624699,1961.887011,1950.320764,630.2906998,30,583.3779439,0,0,0,0,0,,0,18,16.91666667,0,4,4.733333333,3.084315573,0,0,250,2,PKG1
6230167,4G,Smartphone,MALE,Galle,40-50,168,2320.3,0,0,0,0,,0,0,0,0,0,0,0,,0,274,53.88333333,0,29,9.470689655,10.80299213,0,1,,,PKG2
4150835,4G,Smartphone,FEMALE,Gampaha,40-50,154,2919.55,7023,2.440700531,565.8493118,563.4086113,234.1024175,30,145.2749787,0,0,0,0,0,,0,292,40.38333333,0,28,10.44464286,9.89671503,0,0,500,1,PKG4
4465033,4G,Smartphone,FEMALE,Kandy,<20,5,1560.54,17379,0,1342.013979,1342.013979,599.3047141,29,445.1117866,0,0.366666667,0,0.366666667,1,0.366666667,0.066943868,338,69.13333333,0,26,13.03782051,15.7552208,0,0,360,2,PKG1
4101172,4G,Smartphone,MALE,Kandy,30-40,165,3508.94,40988,508.4356298,2098.931304,1590.495674,1366.292003,30,417.0212288,0,0,0,0,0,,0,0,0,0,0,,0,0,0,1000,2,PKG6
9435547,4G,Smartphone,MALE,Kalutara,40-50,189,2782.88,17672,70.31025505,1344.377887,1274.067632,589.074167,30,328.667186,0,0,0,0,0,,0,131,21.06666667,0,27,4.866049383,5.248611718,0,0,350,1,PKG4
1721767,4G,Smartphone,MALE,Jaffna,40-50,204,1843.76,13625,55.98846722,1776.489849,1720.501382,454.1875246,30,402.1249352,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,,PKG5
9484855,4G,Smartphone,MALE,Kandy,>70,118,1205.62,1,0,0.354401588,0.354401588,0.108372961,14,0.105657788,0,0,0,0,0,,0,21,9.333333333,0,4,5.3375,2.136761568,0,0,,,PKG3
5931652,4G,Smartphone,MALE,Ampara,30-40,185,1267.96,12686,0,1099.790033,1099.790033,487.9358782,26,270.7508484,0,0,0,0,0,,0,26,10.18333333,0,13,2.046153846,1.998995917,0,0,750,5,PKG1
5592764,4G,Smartphone,MALE,Gampaha,30-40,188,4442.24,17442,15.77261448,2040.428634,2024.656019,601.4714218,29,570.0863948,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1,PKG5
4657194,4G,Smartphone,MALE,Colombo,50-60,185,2957.33,15221,27.95741272,1322.423281,1294.465868,507.3982084,30,381.207801,0,0,0,0,0,,0,132,18.63333333,0,21,6.29047619,5.04600559,0,0,950,1,PKG3
3568242,4G,Smartphone,MALE,Badulla,50-60,155,1732.97,1536,0,525.1144457,525.1144457,153.6392946,10,122.904218,2,2.2,0,2.2,1,2.2,0.401663209,91,17.83333333,0,21,4.354761905,3.861474293,0,0,,,PKG1
1080457,4G,Smartphone,MALE,Gampaha,40-50,142,0,7790,0,1263.126554,1263.126554,519.343971,15,336.0727132,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,,PKG6
1029129,4G,Smartphone,MALE,Colombo,50-60,251,734.03,11783,0,2773.546671,2773.546671,453.2116758,26,525.138116,0,0,0,0,0,,0,14,5.05,0,5,2.87,1.221543132,1,1,360,2,PKG1
1428801,4G,Smartphone,MALE,Gampaha,20-30,34,701.2,6535,10.01641655,808.7625465,798.74613,217.8421578,30,205.2853917,0,0,0,0,0,,0,69,47.46666667,0,11,6.310606061,8.65856505,0,0,,,PKG1
8029040,4G,Smartphone,MALE,Colombo,30-40,173,2217.18,43919,466.4985876,2819.215406,2352.716819,1463.974015,30,570.7888326,0,0,0,0,0,,0,19,4.133333333,0,15,1.272222222,1.081896335,1,0,1800,5,PKG1
3966442,4G,Smartphone,MALE,Kurunegala,40-50,51,3338.76,37336,165.0863466,3688.760071,3523.673724,1244.55778,30,795.3289381,0,0,0,0,0,,0,222,33.11666667,0,25,8.89,9.762458147,0,0,350,1,PKG4
3150566,4G,Smartphone,MALE,Colombo,30-40,108,6850.53,101492,0.011435509,20909.24193,20909.23049,3383.070811,30,4447.768812,0,0,0,0,0,,0,0,0,0,0,,0,0,0,610,3,PKG8
6245514,4G,Smartphone,MALE,Colombo,50-60,154,1049.36,1360,0,305.559659,305.559659,54.43598011,25,63.70784635,0,0,0,0,0,,0,123,25.98333333,0,25,4.928666667,5.813565328,0,0,,,PKG2
5944102,4G,Smartphone,MALE,Colombo,40-50,172,1447.12,13345,80.20256138,1270.064543,1189.861981,444.8466499,30,387.6562411,0,0,0,0,0,,0,201,33.26666667,0,19,10.5877193,8.647754933,0,0,350,2,PKG2
7858603,4G,Smartphone,MALE,Kandy,50-60,126,2820.73,12113,165.2153225,1008.855367,843.6400442,403.7932514,30,170.9390607,0,0,0,0,0,,0,325,34.61666667,0,29,11.22068966,9.775456403,0,0,950,3,PKG3
4587177,4G,Smartphone,MALE,Colombo,60-70,174,608.24,791,0.552297592,245.3971891,244.8448915,26.38678783,30,43.91612465,0,0,0,0,0,,0,59,12.35,0,16,3.690625,3.092960584,0,1,,,PKG1
1793159,4G,Smartphone,MALE,Gampaha,20-30,147,2905.2,19313,160.6617346,1891.912826,1731.251091,643.7728329,30,457.7630803,0,0,0,0,0,,0,143,17.65,0,28,5.13452381,4.512323979,0,0,1190,4,PKG3
4322043,4G,Smartphone,MALE,Matara,30-40,193,880.42,5695,0,1185.490223,1185.490223,196.3922908,29,327.553941,0,0,0,0,0,,0,41,18.73333333,0,9,4.640740741,3.864190481,0,0,250,1,PKG1
3107980,4G,Smartphone,MALE,Kandy,50-60,126,2040.64,4674,35.6558609,406.9062376,371.2503767,155.8116208,30,89.85211747,0,0,0,0,0,,0,53,12.6,0,24,2.209027778,2.955845184,0,0,,,PKG2
9272592,4G,Smartphone,FEMALE,Gampaha,20-30,52,3244.77,65605,838.2331915,4583.763431,3745.530239,2186.862758,30,849.0289174,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,,PKG6
3468986,4G,Smartphone,MALE,Gampaha,40-50,191,2102.26,13856,85.64836788,984.2947788,898.6464109,461.873502,30,218.6480224,0,0,0,0,0,,0,0,0,0,0,,0,0,0,250,1,PKG5
6622760,4G,Smartphone,MALE,Colombo,30-40,104,1396.26,27342,138.6751299,2131.920883,1993.245753,911.4318204,30,556.3626548,87,30.75,0,30.75,17,5.170588235,6.171252411,49,13.1,0,10,4.961666667,3.695696688,0,0,410,3,PKG1
9408102,2G,Feature phone,MALE,Kalutara,30-40,93,589.34,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,,PKG1
2667197,4G,Smartphone,MALE,Colombo,20-30,93,2069.73,8381,0.886735916,1192.873742,1191.987006,279.3965624,30,285.4290578,0,0,0,0,0,,0,69,30.41666667,0,16,4.31875,5.655349416,0,0,600,2,PKG1
1478192,4G,Smartphone,MALE,Matara,30-40,36,762.31,1,0,1.174294472,1.174294472,0.620072842,2,0.214318367,0,0,0,0,0,,0,0,0,0,0,,0,0,1,,,PKG1
8047327,4G,Smartphone,MALE,Kandy,20-30,92,4000.24,8916,47.41993999,961.5996742,914.1797342,297.2206186,30,193.8901254,0,0,0,0,0,,0,224,44.88333333,0,9,24.99074074,14.06712771,0,0,,,PKG3
